"prefix","code","course name","description","credit hours","prereqs","coreqs"
"IAC","101","Engaging Civically","Rights and duties of citizenship; modes of citizen engagement in public affairs; the role of civil discourse in democratic debate.","3","",""
"IAC","102","Visions of America","Exploring differing perspectives on core American ideals and values, including liberty, equality, justice, and democracy.","3","",""
"IAC","201","Construction and Reconstruction of the American Republic","An examination of the philosophical, legal, cultural, and historical foundations of the American Revolution, the framing of the Constitution, the establishment of the new republic, the Civil War, and ReconstructionSatisfies Volunteer Core Requirement: (GCUS)","3","",""
"IAC","202","Civil Society and the State","The role that culture plays in the relationship between society and the state. Using an international perspective, students will interact with a wide variety of cultures throughout the world in order to investigate whether cultural norms and social capital are necessary for producing and sustaining democratic political systems.","3","",""
"IAC","203","Constitutional Foundations","Examination of how policy challenges are addressed through the American constitutional framework. Emphasis on case studies.","3","",""
"IAC","301","Acting Democratically","Examination of how public policy is made in a democratic system. Comment(s): Pre-major core course for the Public Affairs major. ","3","",""
"IAC","302","American Legal System","An overview of the structure of the U.","3","",""
"IAC","303","Legal Research and Writing","An introduction to the methodology of legal research and the practice of writing legal briefs and memoranda.","3","",""
"IAC","311","Might and Right Among Nations","Investigating the ongoing tension between the national interest and national ideals in formulating American security and diplomatic strategies. ","3","",""
"IAC","313","War and Peace","Analyzing the causes, ethics, strategy, and experiences of war, as well as how wars are concluded and peace restored. ","3","",""
"IAC","401","The Art of the Possible","Conflict, communication, consensus building, and compromise in public policymaking. Emphasis on case studies. (co-convenes with IAC 504)","3","",""
"IAC","404","Crime, Law, and Justice","An overview of substantive and procedural criminal law and the operations of the criminal justice system with emphasis on the courts.","3","",""
"IAC","405","Civil Law and Justice","An introduction to civil law, including torts, contracts, property, and family law, as well as the adjudication of civil cases.","3","",""
